CustomerID,Recency,Frequency,Monetary,R_score,F_score,M_score
13218,5398,1,62.64,4,1,1
14840,5538,1,62.85,5,2,1
17263,5479,1,63.44,5,1,1
13302,5426,1,63.75,4,1,1
13130,5365,1,64.0,4,1,1
13684,5556,2,64.23,5,3,1
17747,5371,2,64.65,4,3,1
17382,5336,1,65.4,3,1,1
14393,5489,1,67.95,5,1,1
15863,5296,2,68.84,2,2,1
18037,5425,6,70.02,4,4,1
16581,5426,2,70.44,4,3,1
17022,5302,1,71.0,3,1,1
13185,5538,1,71.4,5,2,1
13938,5306,1,71.66,3,1,1
13686,5453,1,72.0,5,1,1
17906,5518,1,72.9,5,2,1
16171,5330,1,73.2,3,1,1
12506,5503,1,73.5,5,2,1
18032,5605,1,73.5,5,2,1
17960,5442,1,73.78,4,1,1
13095,5341,1,74.4,4,1,1
18050,5630,1,74.4,5,2,1
16468,5345,1,74.9,4,1,1
13403,5288,1,75.0,2,1,1
16610,5490,1,75.66,5,1,1
17628,5352,1,75.75,4,1,1
17995,5552,1,76.1,5,2,1
15668,5488,1,76.32,5,1,1
16148,5567,1,76.32,5,2,1
14090,5595,1,76.32,5,2,1
18113,5639,1,76.32,5,2,1
17536,5448,1,76.5,5,1,1
14373,5629,1,76.55,5,2,1
13992,5301,1,76.8,2,1,1
13132,5532,1,77.3,5,2,1
14785,5281,2,77.4,1,2,1
17942,5278,1,77.5,1,1,1
16078,5554,1,79.2,5,2,1
15753,5575,1,79.2,5,2,1
13747,5644,1,79.6,5,2,1
14109,5294,2,80.2,2,2,1
17752,5630,1,80.64,5,2,1
13967,5416,1,80.7,4,1,1
16789,5279,1,80.8,1,1,1
18281,5451,1,80.82,5,1,1
17620,5330,1,81.44,3,1,1
13006,5327,1,81.57,3,1,1
16424,5462,2,82.56,5,3,1
17309,5366,1,82.75,4,1,1
12401,5574,1,84.3,5,2,1
13666,5331,3,84.65,3,3,1
13841,5523,1,85.0,5,2,1
15541,5385,1,85.13,4,1,1
16498,5432,3,86.12,4,3,1
13296,5408,1,87.4,4,1,1
15180,5638,1,87.5,5,2,1
18084,5287,2,87.53,2,2,1
15083,5527,1,88.2,5,2,1
15212,5510,2,88.95,5,3,1
12353,5475,1,89.0,5,1,1
14436,5369,1,89.06,4,1,1
12686,5642,1,89.14,5,2,1
14219,5275,1,89.94,1,1,1
14117,5414,1,90.0,4,1,1
16597,5275,1,90.04,1,1,1
15552,5488,1,90.12,5,1,1
16506,5290,2,90.3,2,2,1
13947,5336,1,90.6,3,1,1
14353,5486,1,90.6,5,1,1
15488,5363,1,91.32,4,1,1
12659,5300,1,91.68,2,1,1
13160,5293,1,91.8,2,1,1
13551,5590,1,91.8,5,2,1
12789,5336,1,91.85,3,1,1
14054,5336,1,92.46,3,1,1
12821,5485,1,92.72,5,1,1
17991,5496,2,93.35,5,3,1
13283,5330,2,93.66,3,2,1
18227,5488,1,93.75,5,1,1
15428,5286,1,93.78,2,1,1
15397,5560,1,94.0,5,2,1
13651,5306,2,94.2,3,2,1
16073,5562,2,94.35,5,3,1
16387,5593,1,94.36,5,2,1
12548,5437,1,95.2,4,1,1
18249,5288,1,95.34,2,1,1
17024,5316,3,95.85,3,3,1
14642,5329,1,96.12,3,1,1
15216,5358,1,96.6,4,1,1
17325,5551,1,96.8,5,2,1
12984,5289,1,97.5,2,1,1
18277,5329,2,97.63,3,2,1
15422,5594,2,97.7,5,3,1
18033,5336,1,97.97,3,1,1
17895,5315,1,98.0,3,1,1
17538,5296,1,98.42,2,1,1
15256,5419,1,98.45,4,1,1
17746,5505,2,98.8,5,3,1
17939,5430,1,99.14,4,1,1
13703,5589,1,99.5,5,2,1
15973,5506,3,99.77,5,3,1
14371,5566,1,100.5,5,2,1
17427,5342,1,100.8,4,1,1
14946,5285,1,100.9,2,1,1
16344,5429,1,101.1,4,1,1
13235,5482,2,101.17,5,3,1
13101,5505,1,101.19,5,2,1
18086,5545,1,101.34,5,2,1
16006,5482,1,101.4,5,1,1
17643,5644,1,101.55,5,2,1
16516,5301,1,101.7,2,1,1
18068,5560,1,101.7,5,2,1
13948,5631,1,102.0,5,2,1
16462,5335,4,102.0,3,4,1
14981,5517,1,102.12,5,2,1
14836,5281,3,102.45,1,3,1
18011,5644,1,102.79,5,2,1
17962,5413,1,102.83,4,1,1
14542,5456,1,103.25,5,1,1
18255,5360,1,103.3,4,1,1
18174,5278,1,104.0,1,1,1
15958,5345,1,104.35,4,1,1
15607,5607,1,104.76,5,2,1
14027,5331,1,104.82,3,1,1
15775,5516,1,104.9,5,2,1
12929,5393,2,105.1,4,3,1
17791,5300,1,106.1,2,1,1
15070,5643,1,106.2,5,2,1
15168,5296,1,106.56,2,1,1
16757,5589,1,106.83,5,2,1
15395,5596,1,107.45,5,2,1
16784,5290,1,107.6,2,1,1
14661,5297,1,107.95,2,1,1
12956,5577,1,108.07,5,2,1
13226,5544,1,108.21,5,2,1
16106,5336,1,108.38,3,1,1
17639,5547,1,108.5,5,2,1
14345,5309,1,108.98,3,1,1
14699,5485,1,109.13,5,1,1
16363,5324,1,109.36,3,1,1
13133,5544,2,109.8,5,3,1
16339,5555,1,109.95,5,2,1
17836,5318,1,110.21,3,1,1
17901,5300,1,110.38,2,1,1
16792,5553,2,110.38,5,3,1
12734,5623,1,110.4,5,2,1
14641,5292,1,110.46,2,1,1
16963,5458,1,110.55,5,1,1
17349,5450,1,110.75,5,1,1
15853,5322,1,110.8,3,1,1
13519,5321,2,110.8,3,2,1
15537,5434,1,110.92,4,1,1
13144,5603,1,110.95,5,2,1
13508,5514,1,110.97,5,2,1
18120,5485,1,111.15,5,1,1
17887,5400,1,111.35,4,1,1
17957,5337,1,111.68,3,1,1
17274,5306,1,111.98,3,1,1
12756,5357,1,112.08,4,1,1
17893,5496,1,112.25,5,1,1
14271,5496,1,112.32,5,1,1
17038,5301,1,112.4,2,1,1
15610,5322,1,112.46,3,1,1
18129,5514,1,112.55,5,2,1
13807,5638,1,112.6,5,2,1
16697,5512,1,112.75,5,2,1
13161,5584,1,112.75,5,2,1
14689,5479,1,112.8,5,1,1
15280,5443,1,113.12,4,1,1
16913,5561,1,113.44,5,2,1
18105,5308,1,113.48,3,1,1
17217,5505,1,113.5,5,2,1
15445,5535,1,113.5,5,2,1
14457,5581,1,113.64,5,2,1
12651,5605,1,114.0,5,2,1
12504,5289,4,114.0,2,4,1
15221,5637,2,114.1,5,3,1
14582,5311,1,114.11,3,1,1
12938,5296,1,114.14,2,1,1
14652,5348,1,114.18,4,1,1
17219,5302,1,114.23,2,1,1
17852,5282,2,114.34,2,2,1
14974,5308,1,114.39,3,1,1
16247,5441,1,114.56,4,1,1
14632,5533,1,114.56,5,2,1
13188,5282,1,114.6,2,1,1
14972,5399,1,114.77,4,1,1
18027,5369,1,115.31,4,1,1
13067,5353,1,115.46,4,1,1
15350,5644,1,115.65,5,2,1
14143,5404,1,115.8,4,1,1
13170,5297,1,116.01,2,1,1
17601,5510,1,116.01,5,2,1
17117,5559,1,116.2,5,2,1
13877,5357,1,117.24,4,1,1
16959,5358,1,117.35,4,1,1
15836,5316,2,117.47,3,2,1
17654,5548,1,117.55,5,2,1
13193,5332,1,117.88,3,1,1
13581,5580,1,118.0,5,2,1
14155,5537,1,118.75,5,2,1
17079,5349,1,118.8,4,1,1
15843,5574,1,118.95,5,2,1
16666,5290,1,118.98,2,1,1
15266,5609,1,119.3,5,2,1
16542,5324,1,119.62,3,1,1
14453,5461,1,119.93,5,1,1
14314,5377,1,120.0,4,1,1
14259,5412,1,120.0,4,1,1
18015,5275,1,120.03,1,1,1
17446,5447,2,120.9,5,3,1
13002,5589,1,120.95,5,2,1
16611,5457,2,120.99,5,3,1
15512,5426,2,121.0,4,3,1
15049,5544,1,121.17,5,2,1
13182,5316,1,121.18,3,1,1
13244,5363,1,121.74,4,1,1
18018,5379,2,122.14,4,3,1
14076,5400,1,122.47,4,1,1
14165,5546,1,122.54,5,2,1
13638,5286,1,122.64,2,1,1
13876,5334,1,122.7,3,1,1
14413,5633,1,122.7,5,2,1
17967,5642,1,123.07,5,2,1
15917,5518,1,123.1,5,2,1
16658,5639,1,123.24,5,2,1
14495,5321,2,123.8,3,2,1
16569,5274,1,124.2,1,1,1
16849,5457,1,124.57,5,1,1
17578,5461,2,124.74,5,3,1
17148,5322,1,124.88,3,1,1
12531,5285,1,125.22,2,1,1
15017,5304,1,125.58,3,1,1
14890,5524,1,125.65,5,2,1
14861,5323,1,125.79,3,1,1
13522,5301,1,125.8,2,1,1
12814,5372,1,125.92,4,1,1
16988,5276,1,126.12,1,1,1
15463,5300,1,126.14,2,1,1
16414,5292,2,126.25,2,2,1
13279,5335,2,126.3,3,2,1
14962,5541,1,126.7,5,2,1
15923,5643,1,127.08,5,2,1
15578,5433,1,127.1,4,1,1
15135,5504,2,127.15,5,3,1
13781,5521,1,127.84,5,2,1
17359,5282,1,127.86,2,1,1
15543,5559,1,127.86,5,2,1
16828,5364,2,128.5,4,3,1
14483,5420,2,129.2,4,3,1
16623,5516,1,129.45,5,2,1
16679,5637,1,129.75,5,2,1
15844,5317,1,130.74,3,1,1
12565,5552,2,131.17,5,3,1
14795,5437,1,131.45,4,1,1
17455,5474,1,131.7,5,1,1
17297,5288,1,131.78,2,1,1
14438,5577,1,131.9,5,2,1
17785,5324,1,131.94,3,1,1
17647,5336,1,133.06,3,1,1
15709,5554,1,133.25,5,2,1
17881,5575,1,133.35,5,2,1
12445,5293,1,133.4,2,1,1
14349,5281,1,133.5,1,1,1
13217,5393,5,133.62,4,4,1
14280,5467,1,134.04,5,1,1
12837,5444,1,134.1,4,1,1
14586,5498,3,134.16,5,3,1
14174,5304,1,134.46,3,1,1
15562,5622,1,134.55,5,2,1
14340,5489,1,134.7,5,1,1
16055,5491,1,134.8,5,1,1
12851,5367,1,135.18,4,1,1
15276,5337,1,135.31,3,1,1
16665,5633,1,135.4,5,2,1
16114,5441,1,135.75,4,1,1
15174,5593,1,135.75,5,2,1
15419,5295,1,135.86,2,1,1
14889,5607,1,135.9,5,2,1
15042,5470,1,135.93,5,1,1
12968,5383,1,135.95,4,1,1
17972,5512,1,136.04,5,2,1
14247,5549,1,136.77,5,2,1
15691,5523,1,136.8,5,2,1
17468,5281,2,137.0,1,2,1
17709,5440,1,137.45,4,1,1
16050,5444,1,137.9,4,1,1
12512,5337,2,138.03,3,2,1
15663,5377,1,138.14,4,1,1
13716,5540,1,138.28,5,2,1
17122,5390,1,138.32,4,1,1
14581,5287,1,138.6,2,1,1
12902,5535,1,138.68,5,2,1
18269,5629,2,138.9,5,3,1
13273,5384,1,138.98,4,1,1
18209,5299,1,139.1,2,1,1
14772,5383,1,139.26,4,1,1
16483,5463,1,139.35,5,1,1
17718,5503,1,139.35,5,2,1
14768,5288,3,139.5,2,3,1
14073,5292,2,139.54,2,2,1
14494,5296,1,139.56,2,1,1
13483,5336,1,140.34,3,1,1
13420,5405,4,140.35,4,4,1
15388,5541,1,140.54,5,2,1
16598,5548,2,140.7,5,3,1
15888,5350,2,141.27,4,2,1
14041,5537,1,141.41,5,2,1
13561,5486,1,141.86,5,1,1
14386,5567,1,142.4,5,2,1
13584,5577,1,142.4,5,2,1
16287,5440,1,142.5,4,1,1
13299,5539,1,142.5,5,2,1
15705,5472,1,143.1,5,1,1
13462,5454,2,143.25,5,3,1
12587,5278,1,144.0,1,1,1
17186,5317,2,144.0,3,2,1
12974,5468,1,144.8,5,1,1
16852,5281,2,144.91,1,2,1
17524,5632,1,145.0,5,2,1
15937,5335,1,145.35,3,1,1
13866,5345,1,145.67,4,1,1
17935,5409,2,145.79,4,3,1
16893,5637,1,145.93,5,2,1
14238,5597,1,146.85,5,2,1
17030,5334,1,146.87,3,1,1
15503,5633,1,147.09,5,2,1
12864,5409,1,147.12,4,1,1
14037,5447,2,147.2,5,3,1
14098,5307,1,147.35,3,1,1
14968,5301,1,147.59,2,1,1
17859,5575,1,148.21,5,2,1
15526,5304,2,148.44,3,2,1
17549,5294,2,148.86,2,2,1
13003,5376,3,149.05,4,3,1
15435,5293,1,149.29,2,1,1
15748,5311,1,149.31,3,1,1
18262,5411,1,149.48,4,1,1
17946,5504,2,149.58,5,3,1
15869,5548,2,149.64,5,3,1
17234,5453,1,149.89,5,1,1
15717,5505,1,150.3,5,2,1
16337,5307,1,151.05,3,1,1
14287,5279,4,151.23,1,4,1
13697,5309,1,151.3,3,1,1
16461,5448,1,151.42,5,1,1
16861,5330,3,151.65,3,3,1
14208,5365,1,151.74,4,1,1
16412,5324,1,151.83,3,1,1
16617,5506,1,151.85,5,2,1
17898,5356,2,152.06,4,3,1
14039,5304,1,152.2,3,1,1
13514,5344,1,152.2,4,1,1
17707,5456,2,152.4,5,3,1
14066,5537,1,152.55,5,2,1
18138,5566,1,152.65,5,2,1
17984,5416,1,152.68,4,1,1
16248,5332,1,152.94,3,1,1
17714,5591,1,153.0,5,2,1
12602,5329,1,153.12,3,1,1
16351,5603,1,153.9,5,2,1
17286,5292,1,153.92,2,1,1
17517,5579,1,153.94,5,2,1
15226,5581,1,154.41,5,2,1
14295,5311,2,154.7,3,2,1
17026,5456,2,154.83,5,3,1
15740,5320,1,154.88,3,1,1
17698,5531,1,154.95,5,2,1
14046,5555,1,154.99,5,2,1
14368,5590,1,155.0,5,2,1
13809,5576,1,155.05,5,2,1
15447,5601,1,155.17,5,2,1
16720,5297,1,155.24,2,1,1
12738,5643,1,155.35,5,2,1
17832,5320,1,155.37,3,1,1
14813,5640,2,155.43,5,3,1
17899,5430,1,155.8,4,1,1
17871,5475,1,155.9,5,1,1
13898,5596,1,155.93,5,2,1
15263,5377,1,156.51,4,1,1
15438,5402,1,156.58,4,1,1
14406,5390,1,156.75,4,1,1
15007,5430,1,156.91,4,1,1
17118,5588,1,157.02,5,2,1
14585,5321,1,157.05,3,1,1
17128,5605,1,157.09,5,2,1
14148,5504,1,157.2,5,2,1
14799,5322,1,157.7,3,1,1
17556,5476,1,157.9,5,1,1
15988,5290,1,158.03,2,1,1
15348,5343,1,158.04,4,1,1
15160,5628,1,158.16,5,2,1
17165,5555,1,158.68,5,2,1
13937,5440,1,158.85,4,1,1
18224,5534,1,158.95,5,2,1
16213,5349,1,159.0,4,1,1
12966,5280,1,160.18,1,1,1
14714,5295,1,160.19,2,1,1
18146,5411,2,160.35,4,3,1
18203,5428,1,160.42,4,1,1
12573,5498,1,160.54,5,2,1
17344,5317,1,160.57,3,1,1
15852,5457,2,160.71,5,3,1
13229,5496,1,160.95,5,2,1
14089,5327,1,161.0,3,1,1
14237,5644,1,161.0,5,2,1
14204,5273,1,161.03,1,1,1
16403,5573,2,161.05,5,3,1
14362,5293,1,161.2,2,1,1
16113,5454,1,161.38,5,1,1
15458,5296,1,161.64,2,1,1
17600,5288,1,161.67,2,1,1
16932,5324,1,161.94,3,1,1
15325,5374,1,162.29,4,1,1
15733,5553,1,162.3,5,2,1
16517,5548,1,162.7,5,2,1
15167,5591,1,163.0,5,2,1
16406,5289,1,163.07,2,1,1
13223,5471,2,163.2,5,3,1
17110,5436,1,163.3,4,1,1
14354,5276,2,163.62,1,2,1
18200,5377,1,163.8,4,1,1
12920,5288,1,164.23,2,1,1
13603,5297,1,164.34,2,1,1
17535,5551,1,164.4,5,2,1
15904,5279,1,164.68,1,1,1
15316,5597,1,165.0,5,2,1
13470,5370,2,165.0,4,3,1
18042,5324,1,165.05,3,1,1
14552,5422,1,165.07,4,1,1
14485,5309,1,165.75,3,1,1
12817,5552,1,166.04,5,2,1
17650,5292,1,166.08,2,1,1
18014,5299,1,166.42,2,1,1
14326,5505,2,166.85,5,3,1
16405,5573,2,167.25,5,3,1
13598,5318,2,167.42,3,2,1
15920,5425,4,167.5,4,4,1
16952,5380,2,167.61,4,3,1
17561,5290,1,167.62,2,1,1
18088,5332,1,167.67,3,1,1
15374,5399,1,168.0,4,1,1
12551,5628,1,168.0,5,2,1
15986,5301,1,168.12,2,1,1
17737,5280,2,168.24,1,2,1
16282,5610,1,168.3,5,2,1
18099,5398,1,168.31,4,1,1
17367,5509,1,168.4,5,2,1
14860,5279,2,168.62,1,2,1
14578,5274,1,168.63,1,1,1
12367,5275,1,168.9,1,1,1
18004,5633,1,169.47,5,2,1
14218,5313,1,169.48,3,1,1
13962,5292,2,169.55,2,2,1
16921,5332,1,169.79,3,1,1
15016,5443,1,170.04,4,1,1
18058,5280,1,170.16,1,1,1
17542,5540,1,170.75,5,2,1
15432,5294,1,171.19,2,1,1
17245,5475,1,171.45,5,1,1
16773,5328,1,171.59,3,1,1
14536,5530,1,171.8,5,2,1
12442,5274,1,172.06,1,1,1
13690,5330,1,172.25,3,1,1
13922,5622,1,172.25,5,2,1
18048,5474,2,172.29,5,3,1
14693,5535,1,172.9,5,2,1
15670,5567,1,173.05,5,2,1
15565,5321,2,173.16,3,2,1
12441,5637,1,173.55,5,2,1
16565,5635,1,173.7,5,2,1
14798,5323,3,173.74,3,3,1
18278,5344,1,173.9,4,1,1
15335,5324,1,173.97,3,1,1
13560,5278,1,174.37,1,1,1
14518,5335,1,174.37,3,1,1
14355,5636,1,174.4,5,2,1
13826,5429,2,174.65,4,3,1
18010,5527,1,174.8,5,2,1
17331,5394,1,175.2,4,1,1
16144,5517,1,175.2,5,2,1
17582,5507,1,175.27,5,2,1
12509,5555,1,176.5,5,2,1
18282,5278,3,176.6,1,3,1
16080,5352,3,176.6,4,3,1
17947,5308,1,176.68,3,1,1
12923,5335,1,176.97,3,1,1
17440,5418,5,177.1,4,4,1
13072,5537,1,177.15,5,2,1
12618,5292,1,177.31,2,1,1
13618,5444,1,177.34,4,1,1
17356,5582,1,178.22,5,2,1
17253,5289,1,178.26,2,1,1
13271,5308,2,178.26,3,2,1
13008,5594,2,178.47,5,3,1
17879,5444,1,178.52,4,1,1
13778,5374,1,178.7,4,1,1
17904,5292,2,178.92,2,2,1
15262,5594,1,178.95,5,2,1
16620,5274,2,178.96,1,2,1
15139,5510,2,178.96,5,3,1
14705,5469,1,179.0,5,1,1
16990,5489,1,179.0,5,1,1
15454,5633,1,179.1,5,2,1
15895,5420,1,179.17,4,1,1
18147,5316,2,179.34,3,2,1
12586,5288,2,179.94,2,2,1
12622,5503,1,180.1,5,2,1
15041,5441,1,180.35,4,1,1
13710,5302,1,180.48,3,1,1
18280,5548,1,180.6,5,2,1
16835,5399,2,180.85,4,3,1
15292,5472,1,180.94,5,1,1
15945,5636,1,181.0,5,2,1
15886,5331,1,181.09,3,1,1
16594,5346,1,181.09,4,1,1
18119,5638,1,181.12,5,2,1
14087,5273,2,181.67,1,2,1
14082,5635,1,182.25,5,2,1
17772,5281,2,182.77,1,2,1
15746,5405,2,182.96,4,3,1
13059,5520,1,183.4,5,2,1
13460,5300,2,183.44,2,2,1
14059,5537,1,183.6,5,2,1
16680,5314,1,183.7,3,1,1
15124,5293,2,184.19,2,2,1
16433,5299,1,184.26,2,1,1
17680,5294,1,184.4,2,1,1
13482,5503,1,184.64,5,2,1
16097,5511,1,185.05,5,2,1
14199,5489,1,185.4,5,1,1
17010,5287,2,185.46,2,2,1
17574,5513,1,185.65,5,2,1
12641,5386,1,185.9,4,1,1
15567,5289,1,186.01,2,1,1
14551,5289,2,186.23,2,2,1
17693,5407,3,187.02,4,3,1
16124,5587,2,187.15,5,3,1
18013,5426,2,187.29,4,3,1
16900,5282,5,187.69,2,4,1
17279,5328,1,187.83,3,1,1
14722,5418,1,187.92,4,1,1
17781,5430,2,188.02,4,3,1
12893,5301,1,188.14,2,1,1
14697,5489,2,188.61,5,3,1
16448,5469,1,188.89,5,1,1
18045,5316,1,189.4,3,1,1
13663,5450,1,189.47,5,1,1
17166,5309,3,189.49,3,3,1
12361,5558,1,189.9,5,2,1
17885,5283,1,190.19,2,1,1
13972,5341,2,190.25,3,2,1
14501,5335,3,190.31,3,3,1
15412,5442,1,190.53,4,1,1
13033,5628,1,190.55,5,2,1
17233,5306,1,190.88,3,1,1
15692,5299,1,191.04,2,1,1
17988,5282,8,191.17,2,5,1
14966,5285,1,191.32,2,1,1
15909,5444,1,191.94,4,1,1
12791,5644,1,192.6,5,2,1
12522,5310,2,192.72,3,2,1
13568,5444,1,192.85,4,1,1
14801,5332,1,193.14,3,1,1
14806,5346,1,193.39,4,1,1
17608,5304,2,193.42,3,2,1
16847,5314,1,193.44,3,1,1
17343,5626,1,193.64,5,2,1
15198,5363,2,193.64,4,3,1
15683,5388,1,193.75,4,1,1
12797,5631,3,194.18,5,3,1
17475,5350,1,194.37,4,1,1
16887,5306,1,194.88,3,1,1
14100,5408,1,194.9,4,1,1
15612,5307,2,195.15,3,2,1
14666,5295,1,195.25,2,1,1
13792,5337,2,195.55,3,2,1
16112,5414,4,195.74,4,4,1
17660,5412,1,196.0,4,1,1
13284,5593,2,196.15,5,3,1
13978,5285,2,196.79,2,2,1
13436,5272,1,196.89,1,1,1
15234,5547,1,197.0,5,2,1
14304,5493,2,197.1,5,3,1
14830,5324,1,197.13,3,1,1
16829,5427,1,197.22,4,1,1
17301,5292,1,197.63,2,1,1
14789,5299,1,197.64,2,1,1
14185,5602,1,197.65,5,2,1
12581,5310,1,197.71,3,1,1
12450,5427,2,197.88,4,3,1
16178,5409,1,197.9,4,1,1
13295,5630,2,197.95,5,3,1
17987,5456,1,198.57,5,1,1
16832,5455,3,199.15,5,3,1
17383,5275,1,199.29,1,1,1
13322,5288,1,199.48,2,1,1
15593,5341,1,199.8,3,1,1
13723,5488,1,199.85,5,1,1
14782,5590,1,200.1,5,2,1
13980,5331,1,200.14,3,1,1
15437,5533,1,200.16,5,2,1
13262,5534,1,200.29,5,2,1
12995,5348,2,200.72,4,2,1
13859,5597,1,201.16,5,2,1
16965,5497,1,201.19,5,2,1
15347,5637,1,201.6,5,2,1
14385,5280,3,202.11,1,3,1
18169,5331,1,202.65,3,1,1
14381,5323,1,202.68,3,1,1
15723,5635,1,203.1,5,2,1
17376,5341,2,203.2,4,2,1
17891,5433,1,203.86,4,1,1
17394,5490,1,203.87,5,1,1
17889,5483,2,203.87,5,3,1
17187,5497,1,203.95,5,2,1
13017,5278,1,204.0,1,1,1
18273,5273,3,204.0,1,3,1
17206,5324,1,204.24,3,1,1
16619,5524,2,204.41,5,3,1
15319,5554,1,204.5,5,2,1
13513,5397,1,205.1,4,1,1
15758,5295,1,205.25,2,1,1
15307,5366,1,205.3,4,1,1
17843,5574,1,205.48,5,2,1
17670,5498,1,205.7,5,2,1
13065,5644,1,205.86,5,2,1
18110,5290,2,206.05,2,2,1
14964,5518,1,206.21,5,2,1
18126,5331,1,206.83,3,1,1
15820,5590,1,206.98,5,2,1
15925,5465,1,207.15,5,1,1
13099,5370,1,207.36,4,1,1
16323,5467,1,207.5,5,1,1
17923,5553,1,207.5,5,2,1
16752,5643,1,207.5,5,2,1
16866,5411,3,207.74,4,3,1
18191,5532,1,207.8,5,2,1
12547,5468,2,207.8,5,3,1
16457,5489,1,208.36,5,1,1
16914,5307,1,208.46,3,1,1
16690,5314,3,208.63,3,3,1
17514,5399,1,208.65,4,1,1
15327,5323,1,208.75,3,1,1
17855,5643,1,208.97,5,2,1
13828,5293,1,209.49,2,1,1
13532,5304,1,210.31,3,1,1
16356,5468,4,210.32,5,4,1
16415,5315,1,210.35,3,1,1
15703,5535,1,211.5,5,2,1
16017,5318,1,211.88,3,1,1
15724,5472,3,212.3,5,3,1
17928,5316,2,212.54,3,2,1
16302,5378,2,212.82,4,3,1
18193,5421,3,212.96,4,3,1
16897,5570,3,213.03,5,3,1
14984,5290,2,213.27,2,2,1
15540,5282,1,213.3,1,1,1
16591,5339,1,213.5,3,1,1
13411,5378,1,213.55,4,1,1
14241,5454,1,213.7,5,1,1
17153,5295,1,213.78,2,1,1
13621,5387,1,213.85,4,1,1
14601,5281,1,213.96,1,1,1
16647,5440,2,214.06,4,3,1
14793,5275,2,214.14,1,2,1
16846,5321,1,214.32,3,1,1
16411,5290,2,214.65,2,2,1
16338,5428,1,214.8,4,1,1
12588,5310,1,214.9,3,1,1
12831,5533,1,215.05,5,2,1
16190,5311,1,215.08,3,1,1
16519,5296,2,215.08,2,2,1
16189,5286,2,215.48,2,2,1
14476,5528,1,215.7,5,2,1
17580,5523,3,215.72,5,3,1
15052,5590,1,215.78,5,2,1
16179,5331,1,215.83,3,1,1
13858,5328,1,216.17,3,1,1
14104,5425,2,216.21,4,3,1
17436,5272,2,216.3,1,2,1
15604,5323,1,216.39,3,1,1
12897,5475,2,216.5,5,3,1
15460,5625,1,216.76,5,2,1
13503,5342,1,216.85,4,1,1
13739,5289,1,216.9,2,1,1
15554,5548,1,217.2,5,2,1
16634,5493,2,217.9,5,3,1
14570,5551,2,218.06,5,3,1
12574,5586,1,218.45,5,2,1
13428,5281,1,218.47,1,1,1
17619,5583,1,218.52,5,2,1
13669,5321,2,218.55,3,2,1
14205,5281,4,218.78,1,4,1
12702,5290,1,219.0,2,1,1
16895,5335,1,219.14,3,1,1
15096,5313,1,219.39,3,1,1
13600,5583,1,219.52,5,2,1
18114,5561,1,220.1,5,2,1
13079,5275,5,220.1,1,4,1
16482,5286,1,220.62,2,1,1
18030,5275,3,220.7,1,3,1
15790,5281,1,220.85,1,1,1
13419,5334,1,221.06,3,1,1
16392,5540,1,221.19,5,2,1
14960,5279,2,221.27,1,2,1
14598,5315,1,221.97,3,1,1
15897,5465,2,222.05,5,3,1
13382,5551,1,222.99,5,2,1
15637,5323,1,223.36,3,1,1
17534,5324,1,223.36,3,1,1
18101,5282,2,223.65,2,2,1
13926,5294,1,223.85,2,1,1
14929,5303,1,223.88,3,1,1
16753,5329,1,223.92,3,1,1
